0,796543;0,107507
0,183435;0,571707
0,779691;0,116999
0,596850;0,227439
0,445833;0,332293
0,099975;0,683812
0,459249;0,322321
0,333709;0,422325
0,142867;0,622023
0,650888;0,193223
0,056412;0,762489
0,721999;0,150295
0,938553;0,031211
0,000779;0,972094
0,992212;0,003902
0,617482;0,214200
0,611653;0,217917
0,007066;0,915939
0,023062;0,848137
0,524775;0,275587
0,399861;0,367654
0,046666;0,783978
0,973756;0,013209
0,232771;0,517536
0,090606;0,698991
0,618386;0,213625
0,382462;0,381565
0,983231;0,008420
0,466763;0,316800
0,859940;0,072670
0,680308;0,175192
0,450499;0,328808
0,013265;0,884826
0,942202;0,029329
0,563288;0,249475
0,385417;0,379181
0,015966;0,873642
0,230894;0,519486
0,241025;0,509057
0,683264;0,173402
0,609997;0,218977
0,833195;0,087205
0,173365;0,583629
0,391061;0,374652
0,182236;0,573109
0,755361;0,130885
0,425156;0,347960
0,207942;0,543994
0,567700;0,246541
0,031313;0,823044
0,842285;0,082239
0,449754;0,329363
0,395150;0,371390
0,926659;0,037369
0,727272;0,147198
0,326541;0,428563
0,570444;0,244723
0,520834;0,278312
0,961172;0,019606
0,844534;0,081015
0,747320;0,135523
0,539692;0,265363
0,586751;0,234003
0,965255;0,017526
0,607034;0,220876
0,275999;0,474644
0,296274;0,455690
0,165267;0,593470
0,015636;0,874954
0,423401;0,349307
0,394882;0,371604
0,293488;0,458255
0,014080;0,881342
0,198842;0,554083
0,711342;0,156589
0,790176;0,111082
0,605960;0,221566
0,926301;0,037555
0,651077;0,193107
0,914960;0,043465
0,850039;0,078025
0,449451;0,329589
0,095410;0,691115
0,370818;0,391052
0,668841;0,182173
0,665922;0,183959
0,591298;0,231041
0,274722;0,475861
0,561243;0,250838
0,382927;0,381189
0,971712;0,014245
0,848914;0,078635
0,721730;0,150453
0,235985;0,514217
0,256068;0,493968
0,040434;0,798919
0,710663;0,156992
0,110891;0,666997
0,439337;0,337175
0,201719;0,550868
0,895764;0,053552
0,475370;0,310529
0,563276;0,249483
0,695516;0,166024
0,139331;0,626729
0,604417;0,222557
0,539841;0,265261
0,203061;0,549377
0,942854;0,028994
0,598865;0,226136
0,694785;0,166462
0,880468;0,061668
0,624354;0,209839
0,295634;0,456278
0,105494;0,675201
0,456535;0,324327
0,218440;0,532624
0,416510;0,354624
0,883280;0,060170
0,324345;0,430487
0,122088;0,650589
0,356298;0,403093
0,906828;0,047725
0,272132;0,478337
0,647690;0,195208
0,000520;0,977188
0,352569;0,406225
0,304781;0,447930
0,164656;0,594222
0,534089;0,269186
0,484830;0,303703
0,692436;0,167873
0,269412;0,480951
0,244126;0,505909
0,168291;0,589767
0,218764;0,532278
